Epoch,Step,Total,CE,feat
39,30,2.4375,2.4375,
39,40,2.640625,2.640625,
39,50,2.734375,2.734375,
39,60,2.828125,2.828125,
39,70,2.703125,2.703125,
39,80,2.796875,2.796875,
39,90,2.75,2.75,
39,100,2.71875,2.71875,
39,110,2.53125,2.53125,
40,0,2.921875,2.921875,
40,10,2.546875,2.546875,
40,20,1.9765625,1.9765625,
40,30,2.28125,2.28125,
40,40,2.390625,2.390625,
40,50,2.75,2.75,
40,60,2.8125,2.8125,
40,70,2.578125,2.578125,
40,80,2.765625,2.765625,
40,90,2.640625,2.640625,
40,100,2.578125,2.578125,
40,110,2.5625,2.5625,
41,0,2.90625,2.90625,
41,10,2.46875,2.46875,
41,20,2.21875,2.21875,
41,30,2.171875,2.171875,
41,40,2.171875,2.171875,
41,50,2.28125,2.28125,
41,60,2.53125,2.53125,
41,70,2.453125,2.453125,
41,80,2.765625,2.765625,
41,90,2.578125,2.578125,
41,100,2.375,2.375,
41,110,2.453125,2.453125,
42,0,2.78125,2.78125,
42,10,2.265625,2.265625,
42,20,2.171875,2.171875,
42,30,2.265625,2.265625,
42,40,2.171875,2.171875,
42,50,1.9765625,1.9765625,
42,60,2.40625,2.40625,
42,70,2.640625,2.640625,
42,80,2.453125,2.453125,
42,90,2.734375,2.734375,
42,100,2.28125,2.28125,
42,110,2.328125,2.328125,
43,0,2.78125,2.78125,
43,10,2.4375,2.4375,
43,20,1.7421875,1.7421875,
43,30,1.9140625,1.9140625,
43,40,2.078125,2.078125,
43,50,2.125,2.125,
43,60,2.03125,2.03125,
43,70,2.375,2.375,
43,80,2.484375,2.484375,
43,90,2.234375,2.234375,
43,100,2.0625,2.0625,
43,110,2.21875,2.21875,
44,0,2.734375,2.734375,
44,10,2.484375,2.484375,
44,20,1.7421875,1.7421875,
44,30,2.15625,2.15625,
44,40,1.8125,1.8125,
44,50,1.875,1.875,
44,60,1.6484375,1.6484375,
44,70,1.9375,1.9375,
44,80,2.578125,2.578125,
44,90,2.140625,2.140625,
44,100,1.90625,1.90625,
44,110,2.015625,2.015625,
45,0,2.40625,2.40625,
45,10,2.3125,2.3125,
45,20,1.7734375,1.7734375,
45,30,1.921875,1.921875,
45,40,1.921875,1.921875,
45,50,1.8515625,1.8515625,
45,60,1.703125,1.703125,
45,70,1.71875,1.71875,
45,80,1.921875,1.921875,
45,90,2.15625,2.15625,
45,100,1.96875,1.96875,
45,110,1.8359375,1.8359375,
46,0,2.234375,2.234375,
46,10,2.125,2.125,
46,20,1.6875,1.6875,
46,30,1.6875,1.6875,
46,40,1.875,1.875,
46,50,1.90625,1.90625,
46,60,1.765625,1.765625,
46,70,1.765625,1.765625,
46,80,2.0,2.0,
46,90,1.7734375,1.7734375,
46,100,1.796875,1.796875,
46,110,1.796875,1.796875,
47,0,2.40625,2.40625,
47,10,2.015625,2.015625,
